name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
chennai,2023-01-11,28.4,20.9,25.3,30.6,20.9,25.9,20,73.3,0,0,0,0,,20.2,19.6,41.2,1013.1,40.4,4.8,254.7,21.9,9,10,2023-01-11 6:34:21,2023-01-11 17:59:00,0.64,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-01-12,29.1,21.4,25.6,31.5,21.4,26.1,20,72.1,0,0,0,0,,15.1,17.1,23.6,1012.1,32,5.3,255.5,22,9,10,2023-01-12 6:34:34,2023-01-12 17:59:34,0.68,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-01-13,29.4,21.8,25.6,31.2,21.8,26.2,19.6,70.4,0,0,0,0,,17.3,13.2,23,1012.4,36.2,5.1,245.5,21.1,8,10,2023-01-13 6:34:47,2023-01-13 18:00:07,0.71,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-01-14,29,21.6,25.2,30.8,21.6,25.7,19.5,71.5,0,0,0,0,,16.6,16.8,50.1,1012.3,35.4,4.9,243.3,20.8,9,10,2023-01-14 6:34:59,2023-01-14 18:00:41,0.75,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-01-15,28.2,21.2,24.9,29.7,21.2,25.4,19.4,71.9,0,0,0,0,,14.8,14.8,96.7,1011.8,35.9,5.3,260.5,22.5,9,10,2023-01-15 6:35:09,2023-01-15 18:01:14,0.75,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-01-16,28.4,21.3,25,29.7,21.3,25.4,19.4,71.5,0,0,0,0,,19.8,20.6,86.4,1012.5,32.6,5.9,261.5,22.6,9,10,2023-01-16 6:35:19,2023-01-16 18:01:47,0.81,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-01-17,30,21.8,25.5,31.3,21.8,26,19.3,69.6,0,0,0,0,,17.3,17.8,112.4,1010.6,42.1,5.5,257.8,22.3,9,10,2023-01-17 6:35:27,2023-01-17 18:02:19,0.85,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-01-18,29,22.3,25.8,31.3,22.3,26.5,19.5,69,0,0,0,0,,18.7,16.8,101.3,1014.5,48.2,5.2,257,22.3,9,10,2023-01-18 6:35:34,2023-01-18 18:02:51,0.88,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-01-19,29.1,23,26.2,30.9,23,26.8,19.3,66.2,0,0,0,0,,22,18.1,90.4,1014.5,49.2,5.4,260,22.5,9,10,2023-01-19 6:35:41,2023-01-19 18:03:23,0.91,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-01-20,29.5,23.4,26.1,32,23.4,27,21.5,76.2,0.145,100,4.17,0,,20.9,15.4,65.2,1013.6,58.4,4.2,213,18.3,9,10,2023-01-20 6:35:46,2023-01-20 18:03:55,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,1,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-01-21,29.9,23.9,27,32.5,23.9,28.3,21.5,72.8,0,0,0,0,,26.6,22.8,63.7,993.6,53.7,4.4,254.6,21.9,9,10,2023-01-21 6:35:50,2023-01-21 18:04:26,0.98,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-01-22,29,23.6,26.7,31.4,23.6,27.9,20.8,70.4,0,0,0,0,,24.8,22.3,65.9,1012.3,53.4,4.7,213,18.5,7,10,2023-01-22 6:35:53,2023-01-22 18:04:57,0,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-01-23,28.3,25.1,26.8,31.5,25.1,28.4,22.1,75.8,0.027,100,4.17,0,,23,26.3,56.8,1011.1,75.3,4.8,127.8,11.1,5,10,2023-01-23 6:35:55,2023-01-23 18:05:27,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,1,"VOMM,43279099999,AUCE,43278099999,AUKJ"
chennai,2023-01-24,30,23.8,26.6,31.9,23.8,27.6,21.1,72.2,0,0,0,0,,22.7,23.8,71.6,1011.7,47.1,5.4,256.6,22.2,9,10,2023-01-24 6:35:56,2023-01-24 18:05:57,0.08,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-01-25,29.1,22.8,26.2,30.6,22.8,27,20.3,70.7,0,0,0,0,,20.5,26.3,64.6,1011.5,39.7,4.8,259.2,22.4,9,10,2023-01-25 6:35:55,2023-01-25 18:06:26,0.11,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999,AUKJ"
chennai,2023-01-26,28.8,21.8,25.9,32.4,21.8,27.1,21.4,76.6,0,0,0,0,,22,20.9,58.9,1011.5,50.4,3.8,255.7,22.2,9,10,2023-01-26 6:35:54,2023-01-26 18:06:55,0.15,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-01-27,29.2,23,26.3,31.6,23,27,20.2,69.8,0,0,0,0,,20.5,21.1,50.8,1011.3,38.6,5.3,264.9,22.8,9,10,2023-01-27 6:35:51,2023-01-27 18:07:24,0.18,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-01-28,29.6,23,26.2,31.9,23,27.2,21,73.6,0,0,0,0,,23.4,24.9,46,1005.7,32.9,4.4,252.6,21.7,9,10,2023-01-28 6:35:47,2023-01-28 18:07:51,0.25,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-01-29,29.2,24,26.7,32.2,24,28.1,22.4,77.9,0,0,0,0,,29.2,27.1,51.7,996.8,58,4.5,253.4,21.8,9,10,2023-01-29 6:35:43,2023-01-29 18:08:19,0.25,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-01-30,29.2,25.3,27.1,35.1,25.3,29.3,23.5,80.9,3.549,100,4.17,0,,33.5,24.9,57,1011,65.5,4.6,238.6,20.5,9,10,2023-01-30 6:35:37,2023-01-30 18:08:46,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,1,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-01-31,30,25.7,27.2,34.1,25.7,29.3,23.4,79.9,0,0,0,0,,32.4,22.3,38,1010.6,78.3,4.4,226.3,19.6,8,10,2023-01-31 6:35:30,2023-01-31 18:09:12,0.32,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-02-01,29.2,25,26.9,32.9,25,28.7,23.2,80.7,0.1,100,4.17,0,,36.7,22.5,22.3,1010.1,88,4.7,148.8,12.9,7,10,2023-02-01 6:35:22,2023-02-01 18:09:38,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,1,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-02-02,28.7,25.8,27.2,31.9,25.8,29,22.5,76.2,0.58,100,4.17,0,,33.5,29.1,37.1,1010.6,88.3,4.4,194,16.9,7,10,2023-02-02 6:35:13,2023-02-02 18:10:03,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,1,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-02-03,31,25.9,27.7,35.5,25.9,30.1,22.9,75.8,0,0,0,0,,30.2,27.7,41.5,1011.2,59.9,5,257.5,22.3,9,10,2023-02-03 6:35:02,2023-02-03 18:10:27,0.42,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-02-04,29.6,25.1,27.3,32.6,25.1,29.2,22.2,75.2,0,0,0,0,,26.6,23.5,41.1,1010.6,43.8,6.4,269,23.3,9,10,2023-02-04 6:34:51,2023-02-04 18:10:51,0.45,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999,AUKJ"
chennai,2023-02-05,29.8,23.3,26.8,31.7,23.3,28,21.5,72.9,0,0,0,0,,22.7,22.4,55,1010.2,35.9,5.1,271.7,23.4,9,10,2023-02-05 6:34:39,2023-02-05 18:11:15,0.5,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-02-06,30,23.3,27.1,33.4,23.3,28.6,21.7,73.8,0,0,0,0,,17.6,19.6,71.2,1010.3,36.9,5.6,258.8,22.5,9,10,2023-02-06 6:34:25,2023-02-06 18:11:38,0.52,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-02-07,31.1,23.6,27,36.6,23.6,28.7,22.4,76.7,0,0,0,0,,20.5,21.1,83.4,1010.4,35.8,4.7,279.5,24.2,9,10,2023-02-07 6:34:11,2023-02-07 18:12:00,0.55,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-02-08,30.8,22,26.5,34.3,22,27.8,21.7,75.8,0,0,0,0,,18.4,18.2,76.7,1010.6,27.8,5.3,276.8,23.8,9,10,2023-02-08 6:33:56,2023-02-08 18:12:21,0.59,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-02-09,30.4,23.5,27.1,33.8,23.5,28.5,21.4,71.7,0,0,0,0,,14,15.6,70.6,1010.9,36.7,5.3,241.3,20.7,8,10,2023-02-09 6:33:39,2023-02-09 18:12:42,0.62,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-02-10,31.6,23.2,27.2,32.5,23.2,28,20.3,67.2,0,0,0,0,,18.7,21.4,69.7,1011.8,22.9,5.1,280.6,24.2,10,10,2023-02-10 6:33:22,2023-02-10 18:13:03,0.65,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999,AUKJ"
chennai,2023-02-11,30,23.2,26.4,32.1,23.2,27.2,20.6,71.1,0,0,0,0,,15.5,17.8,37.7,1012,39.4,4.5,236.2,20.4,8,10,2023-02-11 6:33:03,2023-02-11 18:13:23,0.69,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-02-12,31.6,23,26.8,33.2,23,27.4,20,68.2,0,0,0,0,,13.7,16.7,354.4,1012.3,31.2,4.5,284,24.5,10,10,2023-02-12 6:32:44,2023-02-12 18:13:42,0.72,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-02-13,31,22.2,26.8,32.2,22.2,27.4,19.5,65.9,0,0,0,0,,17.3,16.4,26.1,1012.3,25.3,4.9,288,24.8,10,10,2023-02-13 6:32:24,2023-02-13 18:14:00,0.75,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-02-14,30.1,22.9,26.8,33.2,22.9,28.1,20.9,70.8,0,0,0,0,,15.8,20,67.9,1011.9,32.8,4.7,288.3,24.8,10,10,2023-02-14 6:32:03,2023-02-14 18:14:18,0.79,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-02-15,31.3,23,27,34,23,28.4,21.2,71.4,0,0,0,0,,18.4,26.7,105.6,1010.6,23.9,4.9,288.8,24.8,10,10,2023-02-15 6:31:40,2023-02-15 18:14:36,0.83,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-02-16,30.1,22.1,26.6,32.6,22.1,27.7,21,72.5,0,0,0,0,,17.6,21.7,76.1,1011.1,30.4,4.6,287.8,24.8,10,10,2023-02-16 6:31:17,2023-02-16 18:14:53,0.86,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-02-17,29.9,23.3,26.6,32.2,23.3,27.4,20.3,69.4,0,0,0,0,,16.2,24.7,56.8,1011.5,28.5,5,289.6,24.9,10,10,2023-02-17 6:30:54,2023-02-17 18:15:09,0.9,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-02-18,30.9,23.2,26.9,35.4,23.2,28.9,21.6,72.9,0,0,0,0,,18.4,16.5,73.8,1012,35.5,5.1,289.1,25,10,10,2023-02-18 6:30:29,2023-02-18 18:15:24,0.93,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-02-19,30.9,24,27.5,34.4,24,29.5,22.2,73.8,0,0,0,0,,20.9,19.6,88.4,1012.2,34.8,5.5,292.5,25.2,10,10,2023-02-19 6:30:03,2023-02-19 18:15:40,0.96,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-02-20,31.6,23.1,27.6,33.5,23.1,28.5,20.1,65.6,0,0,0,0,,20.2,17.8,86.1,1012.2,23.6,5.9,296.1,25.7,10,10,2023-02-20 6:29:37,2023-02-20 18:15:54,0,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-02-21,31.9,23.1,27.6,32.8,23.1,28.8,20.3,66.2,0,0,0,0,,18.4,19.6,67.8,1012.3,26.3,5.8,293.2,25.2,10,10,2023-02-21 6:29:10,2023-02-21 18:16:08,0.03,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-02-22,31.8,23.3,27.4,31.6,23.3,28,19.6,65,0,0,0,0,,16.9,14.6,82.7,1011.8,24.4,5.2,296.5,25.8,10,10,2023-02-22 6:28:42,2023-02-22 18:16:22,0.06,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-02-23,31.7,22.7,27.1,34.9,22.7,28.5,21.3,71.6,0,0,0,0,,20.2,19.9,79.6,1011.9,22.9,5.4,297.3,25.6,10,10,2023-02-23 6:28:13,2023-02-23 18:16:34,0.1,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-02-24,31.3,24.1,27.7,34,24.1,29.3,21.2,68.6,0,0,0,0,,15.1,22.9,81.3,1012.2,31.6,5.7,301,26,10,10,2023-02-24 6:27:44,2023-02-24 18:16:47,0.13,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-02-25,31.1,22.8,27.1,32.8,22.8,28,20.2,66.9,0,0,0,0,,18.7,17.5,33.6,1013.7,18.8,5.9,301.6,26.2,10,10,2023-02-25 6:27:14,2023-02-25 18:16:59,0.16,Clear,Clear conditions throughout the day.,2,"VOMM,43279099999,AUCE,43278099999,AUKJ"
chennai,2023-02-26,30.5,22.8,27.2,32.4,22.8,28.2,20.7,68.9,0,0,0,0,,21.6,16.4,40.4,1014.7,25.4,5.5,300.5,26.1,10,10,2023-02-26 6:26:43,2023-02-26 18:17:10,0.2,Partially cloudy,Becoming cloudy in the afternoon.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-02-27,33.1,23.5,27.9,33.6,23.5,28.9,20.4,65.8,0,0,0,0,,19.8,15.4,72.5,1014.8,17.8,5.3,304.5,26.3,10,10,2023-02-27 6:26:12,2023-02-27 18:17:21,0.25,Clear,Clear conditions throughout the day.,2,"VOMM,43279099999,AUCE,43278099999,AUKJ"
chennai,2023-02-28,31.2,24.3,28.2,36.2,24.3,31.5,23,73.7,0,0,0,0,,23.8,20.6,52.9,1014.6,39.5,5.3,291.9,25.3,10,10,2023-02-28 6:25:40,2023-02-28 18:17:32,0.26,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-03-01,30.7,25.9,28.3,34.2,25.9,31.2,22.7,72.1,0,0,0,0,,25.2,30.5,62.6,1014.2,45.1,5.5,296.9,25.8,10,10,2023-03-01 6:25:07,2023-03-01 18:17:42,0.29,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-03-02,31.4,23.7,27.9,32.3,23.7,28.5,19.1,61.7,0,0,0,0,,23.8,29.1,63,1015,25.3,5.6,308.1,26.6,10,10,2023-03-02 6:24:34,2023-03-02 18:17:51,0.33,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-03-03,32,24.9,27.8,34.9,24.9,28.9,20.5,65.5,0,0,0,0,,25.9,36,49.4,1015.2,27,5.1,302.9,26.2,10,10,2023-03-03 6:24:00,2023-03-03 18:18:00,0.36,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-03-04,32,24,27.7,34.1,24,28.9,21,67.8,0,0,0,0,,26.6,24.2,72.3,1015,23,5.5,301.2,26.2,10,10,2023-03-04 6:23:26,2023-03-04 18:18:09,0.39,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-03-05,31.5,24.5,28,34.6,24.5,29.5,21.9,71.1,0,0,0,0,,24.5,18.1,45.5,1014.6,31,5.6,288.6,24.9,9,10,2023-03-05 6:22:51,2023-03-05 18:18:18,0.43,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-03-06,30.9,24.2,27.6,33.8,24.2,28.8,21.6,70.7,0,0,0,0,,20.5,20,60.2,1013.6,30.1,5.6,307.4,26.6,10,10,2023-03-06 6:22:16,2023-03-06 18:18:26,0.46,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-03-07,30.8,24.1,27.4,33.8,24.1,29.1,21.6,71.1,0,0,0,0,,22.7,17.1,63.1,1013.5,32.6,5.5,267.3,23,10,10,2023-03-07 6:21:40,2023-03-07 18:18:33,0.5,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-03-08,31.5,24.9,28.3,32.7,24.9,29.8,21,66,0,0,0,0,,23,16.8,81.7,1013.5,35.1,5.9,299.8,25.9,10,10,2023-03-08 6:21:03,2023-03-08 18:18:41,0.53,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-03-09,31,24.7,27.9,34.3,24.7,30.3,22.5,72.9,0,0,0,0,,24.5,20.3,56.6,1012.8,45,5.6,269.3,23.2,9,10,2023-03-09 6:20:27,2023-03-09 18:18:47,0.56,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-03-10,30.6,24.7,27.8,34.2,24.7,30,22.3,72.7,0,0,0,0,,20.5,16.8,64,1012.4,46.9,5.3,252.2,21.8,9,10,2023-03-10 6:19:50,2023-03-10 18:18:54,0.6,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-03-11,31,24.6,28.1,35.2,24.6,30.4,22.3,71.6,0,0,0,0,,21.6,22.8,63.9,1012.4,35.1,5.4,305.9,26.5,10,10,2023-03-11 6:19:12,2023-03-11 18:19:00,0.63,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-03-12,31.6,24.5,28.3,35.5,24.5,30.9,22.7,72.8,0,0,0,0,,22.7,19.6,62.4,1010.8,27.1,5.6,304,26.5,10,30,2023-03-12 6:18:35,2023-03-12 18:19:06,0.67,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-03-13,32,24.9,28.5,35.1,24.9,30.8,22.4,71.3,0,0,0,0,,21.6,19.6,63.6,1010.9,23.6,5.4,307.3,26.6,10,30,2023-03-13 6:17:56,2023-03-13 18:19:12,0.7,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-03-14,31.3,24.8,28,36.2,24.8,30.7,23.4,76.5,0,0,0,0,,29.5,15.4,78.2,1009.3,30.9,5,308.3,26.6,10,30,2023-03-14 6:17:18,2023-03-14 18:19:18,0.74,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-03-15,32.1,25.4,28.9,38.1,25.4,33,24,75.7,0,0,0,0,,24.8,15.4,152.9,1008.8,30,4.8,303,26.2,10,75,2023-03-15 6:16:39,2023-03-15 18:19:23,0.75,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-03-16,32,26.8,29.2,37.9,29.6,33.9,24.3,75.3,0,0,0,0,,32,17.8,148.7,1009.8,43.6,6.6,303.1,26.3,10,60,2023-03-16 6:16:00,2023-03-16 18:19:28,0.81,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-03-17,30.9,25.6,28.1,40.5,25.6,33,25.1,84.1,29.906,100,12.5,0,,28.4,25.2,102.2,1010.3,65.4,4.7,299.5,25.9,10,60,2023-03-17 6:15:21,2023-03-17 18:19:33,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,1,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-03-18,30.9,25.9,28.3,39.1,25.9,32.8,24.9,82,7.833,100,12.5,0,,35.3,16.8,147.6,1009,65.9,4.9,297.5,25.7,10,60,2023-03-18 6:14:42,2023-03-18 18:19:38,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,1,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-03-19,31.2,24.7,28.3,39.1,24.7,32.5,24.4,79.7,6.991,100,8.33,0,,26.6,15.4,157.1,1008.1,74.7,5.3,228,19.7,10,30,2023-03-19 6:14:02,2023-03-19 18:19:42,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,1,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-03-20,31.5,24.3,27.7,39,24.3,31.3,24.4,82.4,24.115,100,16.67,0,,28.4,20.3,161.3,1007.6,70.4,5.2,247,21.4,10,30,2023-03-20 6:13:23,2023-03-20 18:19:47,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,1,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-03-21,32,27.1,29.4,41.2,30.8,35.8,25.6,80,0,0,0,0,,29.2,17.8,172.2,1007.3,53.8,5.6,285.5,24.8,10,60,2023-03-21 6:12:43,2023-03-21 18:19:51,0,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-03-22,32.7,27.5,29.9,42.9,31.6,37.2,26,80.3,0,0,0,0,,28.1,22.8,173.7,1007.8,50.4,5.9,300.7,25.9,10,75,2023-03-22 6:12:03,2023-03-22 18:19:55,0.02,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-03-23,31,27.9,29.2,42.3,31.3,36.1,26,83.4,1.243,100,4.17,0,,32,22,179.8,1008.1,62.5,5.6,260.4,22.4,9,60,2023-03-23 6:11:23,2023-03-23 18:19:59,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,1,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-03-24,32.3,26.6,29.3,41.6,26.6,35.4,25.6,80.9,0,0,0,0,,30.6,20.6,180.8,1008.4,45.7,5.9,297.3,25.6,10,60,2023-03-24 6:10:43,2023-03-24 18:20:03,0.08,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
